AU,HTI,Hamilton Island Great Barrier Reef,Hamilton Island,QL
AU,HTU,Hopetoun Airport,Hopetoun,VI
AU,HUB,Humbert River Airport,Humbert River,NT
AU,HVB,Hervey Bay Airport,Hervey Bay,QL
AU,HWK,Hawker Airport,Hawker,SA
AU,HXX,Hay Airport,Hay,NS
AU,IDK,Indulkana Airport,Indulkana,SA
AU,IFF,Iffley Airport,Iffley,QL
AU,IFL,Innisfail Airport,Innisfail,QL
AU,IGH,Ingham Airport,Ingham,QL
AU,IKP,Inkerman Airport,Inkerman,QL
AU,INJ,Injune Airport,Injune,QL
AU,INM,Innamincka Airport,Innamincka,SA
AU,IRG,Lockhart River Airport,Lockhart River,QL
AU,ISA,Mount Isa Airport,Mount Isa,QL
AU,ISI,Isisford Airport,Isisford,QL
AU,IVR,Inverell Airport,Inverell,NS
AU,IVW,Inverway Airport,Inverway,NT
AU,JAB,Jabiru Airport,Jabiru,NT
AU,JAD,Perth Jandakot Airport,Perth,WA
AU,JCK,Julia Creek Airport,Julia Creek,QL
AU,JFM,Fremantle Heliport,Fremantle,WA
AU,JUN,Jundah Airport,Jundah,QL
AU,JUR,Jurien Bay Airport,Jurien Bay,WA
AU,KAH,Melbourne Yarra Bank Heliport,Melbourne,VI
AU,KAX,Kalbarri Airport,Kalbarri,WA
AU,KBB,Kirkimbie Station Airport,Kirkimbie Station,NT
AU,KBD,Kimberley Downs Stn Airport,Kimberley Downs Stn,WA
AU,KBJ,Kings Canyon Airport,Kings Canyon,NT
AU,KBY,Streaky Bay Airport,Streaky Bay,SA
AU,KCE,Collinsville Airport,Collinsville,QL
AU,KCS,Kings Creek Station Airport,Kings Creek Station,NT
AU,KDB,Kambalda Airport,Kambalda,WA
AU,KDS,Kamaran Downs Airport,Kamaran Downs,QL
AU,KFE,Cloudbreak Fortescue Dave Forrest,Cloudbreak,WA
AU,KFG,Kalkgurung Airport,Kalkgurung,NT
AU,KGC,Kingscote Airport,Kingscote,SA
AU,KGI,Kalgoorlie-Boulder Airport,Kalgoorlie-Boulder,WA
AU,KGR,Kulgera Kulgera Roadhouse Airport,Kulgera,NT
AU,KGY,Kingaroy Airport,Kingaroy,QL
AU,KKP,Koolburra Airport,Koolburra,QL
AU,KML,Kamileroi Airport,Kamileroi,QL
AU,KNI,Katanning Airport,Katanning,WA
AU,KNS,King Island Airport,King Island,TS
AU,KNX,Kununurra Airport,Kununurra,WA
AU,KOH,Koolatah Airport,Koolatah,QL
AU,KPP,Kalpowar Airport,Kalpowar,QL
AU,KPS,Kempsey Airport,Kempsey,NS
AU,KQR,Kararra Airport,Kararra,WA
AU,KRA,Kerang Airport,Kerang,VI
AU,KRB,Karumba Airport,Karumba,QL
AU,KRD,Kurundi Station Airport,Kurundi Station,NT
AU,KSV,Springvale Airport,Springvale,QL
AU,KTA,Karratha Airport,Karratha,WA
AU,KTR,Katherine RAAF Tindal Airport,Katherine,NT
AU,KUG,Kubin Airport,Kubin,QL
AU,KWM,Kowanyama Airport,Kowanyama,QL
AU,KYF,Yeelirrie Airport,Yeelirrie,WA
AU,KYI,Yalata Mission Airport,Yalata Mission,SA
AU,LBH,Sydney Palm Beach SPB Airport,Sydney,NS
AU,LCN,Balcanoona Airport,Balcanoona,SA
AU,LDC,Lindeman Island Airport,Lindeman Island,QL
AU,LDH,Lord Howe Island Airport,Lord Howe Island,NS
AU,LDW,Lansdowne Station Airport,Lansdowne Station,WA
AU,LEA,Learmonth Airport,Learmonth,WA
AU,LEL,Gapuwiyak Lake Evella Airport,Gapuwiyak,NT
AU,LER,Leinster Airport,Leinster,WA
AU,LFP,Lakefield Airport,Lakefield,QL
AU,LGE,Lake Gregory Mulan Airport,Lake Gregory,WA
AU,LGH,Leigh Creek Airport,Leigh Creek,SA
AU,LHG,Lightning Ridge Airport,Lightning Ridge,NS
AU,LIB,Limbunya Station Airport,Limbunya Station,NT
AU,LKD,Lakeland Downs Airport,Lakeland Downs,QL
AU,LLG,Chillagoe Airport,Chillagoe,QL
AU,LLL,Lissadell Airport,Lissadell,WA
AU,LLP,Linda Downs Airport,Linda Downs,QL
AU,LNH,Lake Nash Airport,Lake Nash,NT
AU,LNO,Leonora Airport,Leonora,WA
AU,LOA,Lorraine Airport,Lorraine,QL
AU,LOC,Lock Airport,Lock,SA
AU,LRE,Longreach Airport,Longreach,QL
AU,LST,Launceston Airport,Launceston,TS
AU,LSY,Lismore Airport,Lismore,NS
AU,LTB,Latrobe Airport,Latrobe,TS
AU,LTP,Lyndhurst Station Airport,Lyndhurst Station,QL
AU,LTV,Lotus Vale Station Airport,Lotus Vale Station,QL
AU,LUT,New Laura Airport,New Laura,QL
AU,LUU,Laura Airport,Laura,QL
AU,LVO,Laverton Airport,Laverton,WA
AU,LWH,Lawn Hill Airport,Lawn Hill,QL
AU,LYT,Lady Elliot Island Airport,Lady Elliot Island,QL
AU,LZR,Lizard Island Airport,Lizard Island,QL
AU,MBB,Marble Bar Airport,Marble Bar,WA
AU,MBF,Mount Buffalo Porepunkah Airport,Mount Buffalo,VI
AU,MBH,Maryborough Airport,Maryborough,QL
AU,MBN,Mount Barnett Airport,Mount Barnett,WA
AU,MBW,Melbourne Moorabbin Airport,Melbourne,VI
AU,MCV,Mcarthur River Mine Airport,Mcarthur River Mine,NT
AU,MCY,Sunshine Coast Maroochydore Airport,Sunshine Coast,QL
AU,MEB,Melbourne Essendon Airport,Melbourne,VI
AU,MEL,Melbourne Melbourne Airport Airport,Melbourne,VI
AU,MET,Moreton Airport,Moreton,QL
AU,MFL,Wando Vale Mount Full Stop Airport,Wando Vale,QL
AU,MFP,Manners Creek Station Airport,Manners Creek Station,NT
AU,MGB,Mount Gambier Airport,Mount Gambier,SA
AU,MGT,Milingimbi Island Airport,Milingimbi Island,NT
AU,MGV,Margaret River Station Airport,Margaret River Station,WA
AU,MHO,Mount House Airport,Mount House,WA
AU,MHU,Mount Hotham Airport,Mount Hotham,VI
AU,MIH,Mitchell Plateau Airport,Mitchell Plateau,WA
AU,MIM,Merimbula Airport,Merimbula,NS
AU,MIN,Minnipa Airport,Minnipa,SA
AU,MIY,Mittiebah Airport,Mittiebah,NT
AU,MIZ,Mainoru Airport,Mainoru,NT
AU,MJK,Monkey Mia Shark Bay Airport,Monkey Mia,WA
AU,MJP,Manjimup Airport,Manjimup,WA
AU,MKR,Meekatharra Airport,Meekatharra,WA
AU,MKV,Mount Cavenagh Airport,Mount Cavenagh,NT
AU,MKY,Mackay Airport,Mackay,QL
AU,MLR,Millicent Airport,Millicent,SA
AU,MLV,Merluna Airport,Merluna,QL
AU,MMG,Mount Magnet Airport,Mount Magnet,WA
AU,MMM,Middlemount Airport,Middlemount,QL
AU,MNE,Mungeranie Airport,Mungeranie,SA
AU,MNG,Maningrida Airport,Maningrida,NT
AU,MNQ,Monto Airport,Monto,QL
AU,MNV,Mount Valley Airport,Mount Valley,NT
AU,MNW,MacDonald Downs Airport,MacDonald Downs,NT
AU,MOO,Moomba Airport,Moomba,SA
AU,MOV,Moranbah Airport,Moranbah,QL
AU,MQA,Mandora Station Airport,Mandora Station,WA
AU,MQE,Marqua Airport,Marqua,NT
AU,MQL,Mildura Airport,Mildura,VI
AU,MQZ,Margaret River Airport,Margaret River,WA
AU,MRG,Mareeba Airport,Mareeba,QL
AU,MRL,Miners Lake Airport,Miners Lake,QL
AU,MRP,Marla Airport,Marla,SA
AU,MRT,Moroak Airport,Moroak,NT
AU,MRZ,Moree Airport,Moree,NS
AU,MSF,Mount Swan Airport,Mount Swan,NT
AU,MTD,Mount Sandford Station Airport,Mount Sandford Station,NT
AU,MTL,Maitland Airport,Maitland,NS
AU,MTQ,Mitchell Airport,Mitchell,QL
AU,MUP,Mulga Park Airport,Mulga Park,NT
AU,MUQ,Muccan Station Airport,Muccan Station,WA
AU,MVH,Macksville Airport,Macksville,NS
AU,MVK,Mulka Airport,Mulka,SA
AU,MVU,Musgrave Airport,Musgrave,QL
AU,MWB,Morawa Airport,Morawa,WA
AU,MWT,Moolawatana Airport,Moolawatana,SA
AU,MWY,Miranda Downs Airport,Miranda Downs,QL
AU,MXD,Marion Downs Airport,Marion Downs,QL
AU,MXU,Mullewa Airport,Mullewa,WA
AU,MYA,Moruya Airport,Moruya,NS
AU,MYI,Murray Island Airport,Murray Island,QL
AU,MYO,Myroodah Station Airport,Myroodah Station,WA
AU,NAA,Narrabri Airport,Narrabri,NS
AU,NAC,Naracoorte Airport,Naracoorte,SA
AU,NBH,Nambucca Airport,Nambucca,NS
AU,NDS,Sandstone Airport,Sandstone,WA
AU,NGA,Young Airport,Young,NS
AU,NIF,Nifty Airport,Nifty,WA
AU,NKB,Noonkanbah Airport,Noonkanbah,WA
AU,NLF,Darnley Island Airport,Darnley Island,QL
AU,NLL,Nullagine Airport,Nullagine,WA
AU,NLS,Nicholson Airport,Nicholson,WA
AU,NMP,New Moon Airport,New Moon,QL
AU,NMR,Nappa Merrie Airport,Nappa Merrie,QL
AU,NOA,Nowra Airport,Nowra,NS
AU,NPP,Napperby Airport,Napperby,NT
AU,NRA,Narrandera Airport,Narrandera,NS
AU,NRG,Narrogin Airport,Narrogin,WA
AU,NRY,Newry Airport,Newry,NT
AU,NSM,Norseman Airport,Norseman,WA
AU,NSO,Scone Airport,Scone,NS
AU,NSV,Noosaville Noosa Airport,Noosaville,QL
AU,NTL,Newcastle Williamtown Airport,Newcastle,NS
AU,NTN,Normanton Airport,Normanton,QL
AU,NUB,Numbulwar Airport,Numbulwar,NT
AU,NUR,Nullarbor Nullarbor Motel Airport,Nullarbor,SA
AU,NYN,Nyngan Airport,Nyngan,NS
AU,OAG,Orange Airport,Orange,NS
AU,OBA,Oban Airport,Oban,QL
AU,OCM,Boolgeeda Airport,Boolgeeda,WA
AU,ODD,Oodnadatta Airport,Oodnadatta,SA
AU,ODL,Cordillo Downs Airport,Cordillo Downs,SA
AU,ODR,Ord River Airport,Ord River,WA
AU,OKB,Fraser Island Orchid Beach Airport,Fraser Island,QL
AU,OKR,Yorke Island Airport,Yorke Island,QL
AU,OKY,Oakey Army Aviation Centre Airport,Oakey,QL
AU,OLP,Olympic Dam Airport,Olympic Dam,SA
AU,ONG,Mornington Island Airport,Mornington Island,QL
AU,ONR,Monkira Airport,Monkira,QL
AU,ONS,Onslow Airport,Onslow,WA
AU,OOL,Gold Coast Coolangatta Airport,Gold Coast,QL
AU,OOM,Cooma Snowy Mountains Airport,Cooma,NS
AU,OOR,Mooraberree Airport,Mooraberree,QL
AU,OPI,Oenpelli Airport,Oenpelli,NT
AU,ORR,Yorketown Airport,Yorketown,SA
AU,ORS,Orpheus Island Waterport SPB Airport,Orpheus Island,QL
AU,OSO,Osborne Mine Airport,Osborne Mine,QL
AU,OXO,Orientos Airport,Orientos,QL
AU,OXY,Morney Airport,Morney,QL
AU,OYN,Ouyen Airport,Ouyen,VI
AU,PBO,Paraburdoo Airport,Paraburdoo,WA
AU,PBY,Long Island/Palm Bay Heliport,Long Island/Palm Bay,QL
AU,PDE,Pandie Pandie Airport,Pandie Pandie,SA
AU,PDN,Parndana Airport,Parndana,SA
AU,PEA,Penneshaw Airport,Penneshaw,SA
AU,PEP,Peppimenarti Airport,Peppimenarti,NT
AU,PER,Perth International Airport,Perth,WA
AU,PEY,Penong Airport,Penong,SA
AU,PHE,Port Hedland International Airport,Port Hedland,WA
AU,PHJ,Newcastle Harbour Heliport,Newcastle,NS
AU,PHQ,Phosphate Hill The Monument Airport,Phosphate Hill,QL
AU,PKE,Parkes Airport,Parkes,NS
AU,PKT,Port Keats Airport,Port Keats,NT
AU,PLO,Port Lincoln Airport,Port Lincoln,SA
AU,PMK,Palm Island Airport,Palm Island,QL
AU,PPI,Port Pirie Airport,Port Pirie,SA
AU,PPP,Proserpine Whitsunday Coast Airport,Proserpine,QL
AU,PQQ,Port Macquarie Airport,Port Macquarie,NS
AU,PRD,Pardoo Station Airport,Pardoo Station,WA
AU,PTI,Port Douglas Heliport,Port Douglas,QL
AU,PTJ,Portland Airport,Portland,VI
AU,PUG,Port Augusta Airport,Port Augusta,SA
AU,PXH,Prominent Hill Airport,Prominent Hill,SA
AU,QBE,Bega Off-line Point,Bega,NS
AU,QBW,Batemans Bay Off-line Point,Batemans Bay,NS
AU,QDN,Eden Off-line Point,Eden,NS
AU,QEL,Wellington Off-line Point,Wellington,NS
AU,QIY,Bedarra Island Off-line Point,Bedarra Island,QL
AU,QJD,Jindabyne Off-line Point,Jindabyne,NS
AU,QLE,Leeton Bus Station,Leeton,NS
AU,QPV,Perisher Valley Bus Station,Perisher Valley,NS
AU,QRM,Narromine Off-line Point,Narromine,NS
AU,QRR,Warren Off-line Point,Warren,NS
AU,QRX,Narooma Off-line Point,Narooma,NS
AU,QTH,Thredbo Bus Station,Thredbo,NS
AU,QTO,Skitube Off-line Point,Skitube,NS
AU,QWL,Crackenback Village Bus Station,Crackenback Village,NS
AU,QYN,Byron Bay Off-line Point,Byron Bay,NS
AU,QZC,Smiggin Holes Bus Station,Smiggin Holes,NS
AU,QZM,Bullocks Flat Bus Station,Bullocks Flat,NS
AU,RAM,Ramingining Airport,Ramingining,NT
AU,RBC,Robinvale Airport,Robinvale,VI
AU,RBS,Orbost Airport,Orbost,VI
AU,RBU,Roebourne Airport,Roebourne,WA
AU,RCM,Richmond Airport,Richmond,QL
AU,RCN,American River Airport,American River,SA
AU,RDA,Rockhampton Downs Airport,Rockhampton Downs,NT
AU,RHL,Roy Hill Station Airport,Roy Hill Station,WA
AU,RKY,Rokeby Airport,Rokeby,QL
AU,RLP,Rosella Plains Airport,Rosella Plains,QL
AU,RMA,Roma Airport,Roma,QL
AU,RMK,Renmark Airport,Renmark,SA
AU,ROH,Robinhood Airport,Robinhood,QL
AU,ROK,Rockhampton Airport,Rockhampton,QL
AU,RPB,Roper Bar Airport,Roper Bar,NT
AU,RPM,Ngukurr Airport,Ngukurr,NT
AU,RPV,Roper Valley Airport,Roper Valley,NT
AU,RRE,Marree Airport,Marree,SA
AU,RRV,Robinson River Airport,Robinson River,NT
AU,RSB,Roseberth Airport,Roseberth,QL
AU,RSE,Sydney Rose Bay SPB Airport,Sydney,NS
AU,RTP,Rutland Plains Airport,Rutland Plains,QL
AU,RTS,Rottnest Island Airport,Rottnest Island,WA
AU,RTY,Merty Merty Airport,Merty Merty,SA
AU,RVT,Ravensthorpe Airport,Ravensthorpe,WA
AU,SBR,Saibai Island Airport,Saibai Island,QL
AU,SCG,Spring Creek Airport,Spring Creek,QL
AU,SFP,Surfers Paradise Heliport,Surfers Paradise,QL
AU,SGO,St George Airport,St George,QL
AU,SGP,Shay Gap Airport,Shay Gap,WA
AU,SHQ,Southport Airport,Southport,QL
AU,SHT,Shepparton Airport,Shepparton,VI
AU,SHU,Smith Point Airport,Smith Point,NT
AU,SIO,Smithton Airport,Smithton,TS
AU,SIX,Singleton Airport,Singleton,NS
AU,SLJ,Solomon Airport,Solomon,WA
AU,SNB,Milikapiti Snake Bay Airport,Milikapiti,NT
AU,SNH,Stanthorpe Airport,Stanthorpe,QL
AU,SOI,South Molle Island Heliport,South Molle Island,QL
AU,SQC,Southern Cross Airport,Southern Cross,WA
AU,SRM,Sandringham Station Airport,Sandringham Station,QL
AU,SRN,Strahan Airport,Strahan,TS
AU,SRR,Stradbroke Island Dunwich Airport,Stradbroke Island,QL
AU,SSK,Sturt Creek Airport,Sturt Creek,WA
AU,SSP,Silver Plains Airport,Silver Plains,QL
AU,STF,Stephens Island Airport,Stephens Island,QL
AU,STH,Strathmore Airport,Strathmore,QL
AU,SVM,St Pauls Airport,St Pauls,QL
AU,SWB,Shaw River Airport,Shaw River,WA
AU,SWC,Stawell Airport,Stawell,VI
AU,SWH,Swan Hill Airport,Swan Hill,VI
AU,SXE,Sale West Sale Airport,Sale,VI
AU,SYD,Sydney Kingsford Smith Airport,Sydney,NS
AU,SYU,Warraber Island Airport,Warraber Island,QL
AU,TAN,Tangalooma Airport,Tangalooma,QL
AU,TAQ,Tarcoola Airport,Tarcoola,SA
AU,TBK,Timber Creek Airport,Timber Creek,NT
AU,TBL,Tablelands Tableland Homestead Airport,Tablelands,WA
AU,TCA,Tennant Creek Airport,Tennant Creek,NT
AU,TCW,Tocumwal Airport,Tocumwal,NS
AU,TDN,Theda Station Airport,Theda Station,WA
AU,TDR,Theodore Airport,Theodore,QL
AU,TEF,Telfer Airport,Telfer,WA
AU,TEM,Temora Airport,Temora,NS
AU,TGN,Traralgon Latrobe Valley Airport,Traralgon,VI
AU,THG,Thangool Airport,Thangool,QL
AU,TIS,Thursday Island Heliport,Thursday Island,QL
AU,TKY,Turkey Creek Airport,Turkey Creek,WA
AU,TMW,Tamworth Airport,Tamworth,NS
AU,TPR,Tom Price Airport,Tom Price,WA
AU,TQP,Trepell Airport,Trepell,QL
AU,TRO,Taree Airport,Taree,NS
AU,TSV,Townsville International Airport,Townsville,QL
AU,TTX,Truscott-Mungalalu Airport,Truscott-Mungalalu,WA
AU,TUM,Tumut Airport,Tumut,NS
AU,TWB,Toowoomba Toowoomba Airport Airport,Toowoomba,QL
AU,TWN,Tewantin Airport,Tewantin,QL
AU,TWP,Torwood Airport,Torwood,QL
AU,TXR,Tanbar Airport,Tanbar,QL
AU,TYB,Tibooburra Airport,Tibooburra,NS
AU,TYG,Thylungra Airport,Thylungra,QL
AU,TYP,Tobermorey Airport,Tobermorey,NT
AU,UBB,Mabuiag Island Airport,Mabuiag Island,QL
AU,UBU,Kalumburu Airport,Kalumburu,WA
AU,UDA,Undara Airport,Undara,QL
AU,UEE,Queenstown Airport,Queenstown,TS
AU,UIR,Quirindi Airport,Quirindi,NS
AU,ULP,Quilpie Airport,Quilpie,QL
AU,UMR,Woomera RAAF Base Airport,Woomera,SA
AU,USL,Useless Loop Airport,Useless Loop,WA
AU,UTB,Muttaburra Airport,Muttaburra,QL
AU,UTD,Nutwood Downs Airport,Nutwood Downs,NT
AU,VCD,Victoria River Downs Airport,Victoria River Downs,NT
AU,VNR,Vanrook Station Airport,Vanrook Station,QL
AU,WAN,Waverney Airport,Waverney,QL
AU,WAU,Wauchope Airport,Wauchope,NT
AU,WAV,Wave Hill Airport,Wave Hill,NT
AU,WAZ,Warwick Airport,Warwick,QL
AU,WCD,Carosue Dam Airport,Carosue Dam,WA
AU,WDI,Wondai Airport,Wondai,QL
AU,WEI,Weipa Airport,Weipa,QL
AU,WEW,Wee Waa Airport,Wee Waa,NS
AU,WGA,Wagga Wagga Airport,Wagga Wagga,NS
AU,WGE,Walgett Airport,Walgett,NS
AU,WGT,Wangaratta Airport,Wangaratta,VI
AU,WGZ,Manly Off-line Point,Manly,NS
AU,WHL,Welshpool Airport,Welshpool,VI
AU,WIN,Winton Airport,Winton,QL
AU,WIO,Wilcannia Airport,Wilcannia,NS
AU,WIT,Wittenoom Airport,Wittenoom,WA
AU,WKB,Warracknabeal Airport,Warracknabeal,VI
AU,WLA,Wallal Downs Airport,Wallal Downs,WA
AU,WLC,Walcha Airport,Walcha,NS
AU,WLE,Miles Airport,Miles,QL
AU,WLL,Wollogorang Airport,Wollogorang,NT
AU,WLO,Waterloo Airport,Waterloo,NT
AU,WLP,West Angelas Airport,West Angelas,WA
AU,WMB,Warrnambool Airport,Warrnambool,VI
AU,WME,Mount Keith Airport,Mount Keith,WA
AU,WND,Windarra Airport,Windarra,WA
AU,WNR,Windorah Airport,Windorah,QL
AU,WOG,Woodgreen Airport,Woodgreen,NT
AU,WOL,Wollongong Illawarra Airport,Wollongong,NS
AU,WON,Wondoola Airport,Wondoola,QL
AU,WPK,Wrotham Park Airport,Wrotham Park,QL
AU,WRN,Windarling Airport,Windarling,WA
AU,WRW,Warrawagine Station Airport,Warrawagine Station,WA
AU,WSY,Airlie Beach/Shute Hbr Whitsunday Apt,Airlie Beach/Shute Hbr,QL
AU,WTB,Toowoomba Brisbane West Wellcamp Airport,Toowoomba,QL
AU,WUD,Wudinna Airport,Wudinna,SA
AU,WUI,Murrin Airport,Murrin,WA
AU,WUN,Wiluna Airport,Wiluna,WA
AU,WWI,Woodie Woodie Airport,Woodie Woodie,WA
AU,WWY,West Wyalong Airport,West Wyalong,NS
AU,WYA,Whyalla Airport,Whyalla,SA
AU,WYN,Wyndham Airport,Wyndham,WA
AU,XCO,Colac Airport,Colac,VI
AU,XHW,Alice Springs Railway Station,Alice Springs,NT
AU,XHX,Adelaide Keswick Railway Stn,Adelaide,SA
AU,XJG,Darwin Railway Station,Darwin,NT
AU,XMC,Mallacoota Airport,Mallacoota,VI
AU,XML,Minlaton Airport,Minlaton,SA
AU,XMY,Yam Island Airport,Yam Island,QL
AU,XOM,Melbourne Ferry Port,Melbourne,VI
AU,XPO,Perth Ferry Port,Perth,WA
AU,XQN,Brisbane Ferry Port,Brisbane,QL
AU,XRH,Richmond RAAF Base Airport,Richmond,NS
AU,XTG,Thargomindah Airport,Thargomindah,QL
AU,XTO,Taroom Airport,Taroom,QL
AU,XTR,Tara Airport,Tara,QL
AU,XYS,Sydney Ferry Port,Sydney,NS
AU,XZX,Rail (Generic) Off-line Point,Rail (Generic),VI
AU,YLG,Yalgoo Airport,Yalgoo,WA
AU,YNN,Yandicoogina Airport,Yandicoogina,WA
AU,YUE,Yuendumu Airport,Yuendumu,NT
AU,ZBL,Biloela Airport,Biloela,QL
AU,ZBO,Bowen Airport,Bowen,QL
AU,ZGL,South Galway Airport,South Galway,QL
AU,ZII,Adelaide Ferry Port,Adelaide,SA
AU,ZNE,Newman Airport,Newman,WA
AU,ZVG,Springvale Airport,Springvale,WA
AU,ZZF,Mystery Flight Off-line Point,Mystery Flight,VI
AU,ZZI,Elite Mystery Night Off-line Point,Elite Mystery Night,VI
AU,ZZJ,Mystery Night Off-line Point,Mystery Night,VI
AW,AUA,Aruba Reina Beatrix Airport,Aruba,
AX,MHQ,Mariehamn Airport,Mariehamn,
AZ,BAK,Baku Metropolitan Area,Baku,
AZ,GBB,Gabala International Airport,Gabala,
AZ,GYD,Baku Heydar Aliyev Intl Airport,Baku,
AZ,KVD,Ganja Airport,Ganja,
AZ,LLK,Lankaran Airport,Lankaran,
AZ,NAJ,Nakchivan Airport,Nakchivan,
AZ,YLV,Yevlakh Airport,Yevlakh,
AZ,ZTU,Zaqatala Airport,Zaqatala,
AZ,ZXT,Baku Zabrat Airport,Baku,
BA,BNX,Banja Luka International Airport,Banja Luka,
BA,OMO,Mostar International Airport,Mostar,
BA,SJJ,Sarajevo International Airport,Sarajevo,
BA,TZL,Tuzla International Airport,Tuzla,
BB,BGI,Bridgetown Grantley Adams Intl Airport,Bridgetown,
BD,BZL,Barisal Airport,Barisal,
BD,CGP,Chittagong Shah Amanat Intl Airport,Chittagong,
BD,CLA,Comilla Airport,Comilla,
BD,CXB,Cox's Bazar Airport,Cox's Bazar,
BD,DAC,Dhaka Hazrat Shahjalal Intl Airport,Dhaka,
BD,IRD,Ishurdi Airport,Ishurdi,
BD,JSR,Jessore Airport,Jessore,
BD,RJH,Rajshahi Shah Makhdum Airport,Rajshahi,
BD,SPD,Saidpur Airport,Saidpur,
BD,TKR,Thakurgaon Airport,Thakurgaon,
BD,ZHM,Shamshernagar Airport,Shamshernagar,
BD,ZYL,Sylhet Osmani Intl Airport,Sylhet,
BE,ANR,Antwerp International Airport,Antwerp,
BE,BRU,Brussels Brussels Airport Airport,Brussels,
BE,CRL,Brussels Brussels S. Charleroi Airport,Brussels,
BE,GNE,Gent Off-line Point,Gent,
BE,KJK,Kortrijk Wevelgem Airport,Kortrijk,
BE,LGG,Liege Airport Airport,Liege,
BE,MWW,Mouscron Off-line Point,Mouscron,
BE,OBL,Zoersel Oostmalle Airport,Zoersel,
BE,OST,Oostende/Brugge Airport Airport,Oostende/Brugge,
BE,QHA,Hasselt Off-line Point,Hasselt,
BE,QMO,Mons Railway Station,Mons,
BE,QNM,Namur Railway Station,Namur,
BE,QON,Arlon Off-line Point,Arlon,
BE,XHN,Liege Guillemins Railway Stn,Liege,
BE,ZAY,Antwerp De Keyserlei Bus Station,Antwerp,
BE,ZGJ,Oostende/Brugge Brugge Railway Station,Oostende/Brugge,
BE,ZGK,Leuven Off-line Point,Leuven,
BE,ZGP,Mechelen Railway Station,Mechelen,
BE,ZGQ,Tournai Off-line Point,Tournai,
BE,ZGV,Wavre Off-line Point,Wavre,
BE,ZWE,Antwerp Central Railway Stn,Antwerp,
BE,ZWY,Any Station Belgium Off-line Point,Any Station Belgium,
BE,ZYB,SNCB Rail Network Off-line Point,SNCB Rail Network,
BE,ZYR,Brussels Midi Railway Station,Brussels,
BE,ZYZ,Antwerp Berchem Railway Stn,Antwerp,
BF,ARL,Arly Airport,Arly,
BF,BNR,Banfora Airport,Banfora,
BF,BOY,Bobo Dioulasso Airport,Bobo Dioulasso,
BF,DGU,Dedougou Airport,Dedougou,
BF,DIP,Diapaga Airport,Diapaga,
BF,DOR,Dori Airport,Dori,
BF,FNG,Fada N'Gourma Airport,Fada N'Gourma,
BF,OUA,Ouagadougou Airport,Ouagadougou,
BF,OUG,Ouahigouya Airport,Ouahigouya,
BF,PUP,Po Airport,Po,
BF,TEG,Tenkodogo Airport,Tenkodogo,
BF,TMQ,Tambao Airport,Tambao,
BF,TUQ,Tougan Airport,Tougan,
BF,XAR,Aribinda Airport,Aribinda,
BF,XBG,Bogande Airport,Bogande,
BF,XBO,Boulsa Airport,Boulsa,
BF,XDE,Diebougou Airport,Diebougou,
BF,XDJ,Djibo Airport,Djibo,
BF,XGA,Gaoua Amilcar Cabral Airport,Gaoua,
BF,XGG,Gorom-Gorom Airport,Gorom-Gorom,
BF,XKA,Kantchari Airport,Kantchari,
BF,XKY,Kaya Airport,Kaya,
BF,XLU,Leo Airport,Leo,
BF,XNU,Nouna Airport,Nouna,
BF,XPA,Pama Airport,Pama,
BF,XSE,Sebba Airport,Sebba,
BF,XZA,Zabre Airport,Zabre,
BG,BOJ,Burgas Airport,Burgas,
BG,GOZ,Gorna Oryahovitsa Airport,Gorna Oryahovitsa,
BG,HKV,Haskovo Malevo Airport,Haskovo,
BG,JAM,Jambol Bezmer Airport,Jambol,
BG,PDV,Plovdiv Krumovo Airport,Plovdiv,
BG,QVJ,Vrajdebna Off-line Point,Vrajdebna,
BG,ROU,Ruse Shtruklevo Airport,Ruse,
BG,SLS,Silistra Polkovnik-Lambrinovo Airport,Silistra,
BG,SOF,Sofia Airport,Sofia,
BG,SZR,Stara Zagora Kolyu Ganchevo Airport,Stara Zagora,
BG,TGV,Targovishte Bukhovtsi Airport,Targovishte,
BG,VAR,Varna Airport,Varna,
BH,BAH,Bahrain International Airport,Bahrain,
BH,GBQ,Muharraq Off-line Point,Muharraq,
BH,WGF,Manama Off-line Point,Manama,
BI,BJM,Bujumbura International Airport,Bujumbura,
BI,GID,Gitega Airport,Gitega,
BI,KRE,Kirundo Airport,Kirundo,
BJ,COO,Cotonou Cadjehoun Airport,Cotonou,
BJ,DJA,Djougou Airport,Djougou,
BJ,KDC,Kandi Airport,Kandi,
BJ,NAE,Natitingou Airport,Natitingou,
BJ,PKO,Parakou Airport,Parakou,
BJ,SVF,Save Airport,Save,
BL,SBH,St Barthelemy Gustaf III Airport,St Barthelemy,
BM,BDA,Bermuda L.F Wade International Airport,Bermuda,
BN,BWN,Bandar Seri Begawan Brunei Intl Airport,Bandar Seri Begawan,
BN,KUB,Kuala Belait Off-line Point,Kuala Belait,
BO,APB,Apolo Airport,Apolo,
BO,ASC,Ascension Airport,Ascension,
BO,BJO,Bermejo Airport,Bermejo,
BO,BVK,Huacaraje Airport,Huacaraje,
BO,BVL,Baures Airport,Baures,
BO,BYC,Yacuiba Airport,Yacuiba,
BO,CAM,Camiri Airport,Camiri,
BO,CBB,Cochabamba Jorge Wilstermann Intl Apt,Cochabamba,
